2011-10-13 15:16:16,150 | WARN | gasw:116 - It is necessary to replace GRID property by DCI
2011-10-13 15:16:26,288 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:16:36,290 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:16:46,292 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:16:56,294 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:17:06,296 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:17:16,298 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:17:26,300 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:17:36,302 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:17:46,303 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:17:56,305 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:18:06,307 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:18:16,309 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:18:26,311 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:18:36,312 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:18:46,314 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:18:56,320 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:19:06,326 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:19:16,329 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:19:26,330 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:19:36,333 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:19:46,334 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:19:56,336 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:20:06,338 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:20:16,340 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:20:26,342 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:20:36,344 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:20:46,345 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:20:56,347 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:21:06,349 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:21:16,351 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:21:26,353 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:21:36,355 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:21:46,356 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:21:56,358 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:22:06,360 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:22:16,362 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:22:26,363 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:22:36,365 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:22:46,366 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:22:56,368 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:23:06,370 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:23:16,372 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:23:26,373 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:23:36,375 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:23:46,377 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:23:56,379 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:24:06,380 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:24:16,382 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:24:26,384 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:24:36,386 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:24:46,387 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:24:56,389 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:25:06,391 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:25:16,393 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:25:26,395 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:25:36,396 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:25:46,398 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:25:56,400 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:26:06,402 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:26:16,403 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:26:26,405 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:26:36,407 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:26:46,409 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:26:56,411 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:27:06,413 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:27:16,414 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:27:26,416 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:27:36,418 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:27:46,420 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:27:56,421 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:28:06,423 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:28:16,425 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:28:26,427 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:28:36,428 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:28:46,430 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
2011-10-13 15:28:56,432 |ERROR | gasw:174 - java.io.IOException: Cannot run program "dirac-wms-job-submit": java.io.IOException: error=2, No such file or directory
